,station,year,month,day,hour,precip,wind_speed,wind_gust,distance,category
586,CSAP4,2017,9,7,2,0.508026123046875,10.729999542236328,20.559999465942383,133.6160501735293,5.0
587,CSAP4,2017,9,7,3,0.253997802734375,4.920000076293945,18.780000686645508,133.6160501735293,5.0
588,CSAP4,2017,9,7,4,0.0,6.260000228881836,16.09000015258789,133.6160501735293,5.0
589,CSAP4,2017,9,7,5,0.50799560546875,4.46999979019165,12.520000457763672,133.6160501735293,5.0
590,CSAP4,2017,9,7,6,0.253997802734375,4.920000076293945,10.729999542236328,133.6160501735293,5.0
591,CSAP4,2017,9,7,6,0.253997802734375,4.920000076293945,10.729999542236328,234.42806074480777,5.0
592,CSAP4,2017,9,7,7,0.0,6.699999809265137,10.729999542236328,234.42806074480777,5.0
593,CSAP4,2017,9,7,8,0.0,5.369999885559082,12.069999694824219,234.42806074480777,5.0
594,CSAP4,2017,9,7,9,0.0,4.46999979019165,11.170000076293945,234.42806074480777,5.0
595,CSAP4,2017,9,7,10,5.079986572265625,4.920000076293945,11.170000076293945,234.42806074480777,5.0
596,CSAP4,2017,9,7,11,20.8280029296875,5.809999942779541,12.520000457763672,234.42806074480777,5.0
597,CSAP4,2017,9,7,12,0.0,2.2300000190734863,12.960000038146973,234.42806074480777,5.0
598,CSAP4,2017,9,9,18,0.0,2.680000066757202,9.84000015258789,477.3278408983644,5.0
599,CSAP4,2017,9,9,19,0.0,5.809999942779541,9.390000343322754,477.3278408983644,5.0
600,CSAP4,2017,9,9,20,0.0,4.46999979019165,8.9399995803833,477.3278408983644,5.0
601,CSAP4,2017,9,9,21,0.0,2.680000066757202,6.260000228881836,477.3278408983644,5.0
602,CSAP4,2017,9,9,22,0.0,2.2300000190734863,4.019999980926514,477.3278408983644,5.0
603,CSAP4,2017,9,9,23,0.0,0.0,3.130000114440918,477.3278408983644,5.0
604,CSAP4,2017,9,10,0,0.0,0.44999998807907104,2.680000066757202,477.3278408983644,5.0
605,CSAP4,2017,9,10,0,0.0,0.44999998807907104,2.680000066757202,388.28706152812185,5.0
606,CSAP4,2017,9,10,1,0.0,1.7899999618530273,2.680000066757202,388.28706152812185,5.0
607,CSAP4,2017,9,10,2,0.0,0.0,3.130000114440918,388.28706152812185,5.0
608,CSAP4,2017,9,10,3,0.0,1.340000033378601,1.7899999618530273,388.28706152812185,5.0
609,CSAP4,2017,9,10,4,0.0,2.680000066757202,3.130000114440918,388.28706152812185,5.0
610,CSAP4,2017,9,10,5,0.0,1.7899999618530273,3.5799999237060547,388.28706152812185,5.0
611,CSAP4,2017,9,10,6,0.0,1.7899999618530273,2.680000066757202,388.28706152812185,5.0
612,CSAP4,2017,9,10,6,0.0,1.7899999618530273,2.680000066757202,350.14236113615,5.0
613,CSAP4,2017,9,10,7,0.0,0.44999998807907104,2.680000066757202,350.14236113615,5.0
614,CSAP4,2017,9,10,8,0.0,2.680000066757202,3.5799999237060547,350.14236113615,5.0
615,CSAP4,2017,9,10,9,0.0,0.0,3.5799999237060547,350.14236113615,5.0
616,CSAP4,2017,9,10,10,0.0,0.8999999761581421,1.7899999618530273,350.14236113615,5.0
617,CSAP4,2017,9,10,11,0.0,0.44999998807907104,1.340000033378601,350.14236113615,5.0
618,CSAP4,2017,9,10,12,0.253997802734375,0.0,1.340000033378601,350.14236113615,5.0
619,CSAP4,2017,9,10,12,0.253997802734375,0.0,1.340000033378601,370.0986471231773,5.0
620,CSAP4,2017,9,10,13,3.302001953125,1.340000033378601,2.2300000190734863,370.0986471231773,5.0
621,CSAP4,2017,9,10,14,1.0159912109375,2.2300000190734863,3.5799999237060547,370.0986471231773,5.0
622,CSAP4,2017,9,10,15,0.0,1.7899999618530273,3.130000114440918,370.0986471231773,5.0
623,CSAP4,2017,9,10,16,0.0,3.5799999237060547,5.809999942779541,370.0986471231773,5.0
624,CSAP4,2017,9,10,17,0.0,3.5799999237060547,6.260000228881836,370.0986471231773,5.0
625,CSAP4,2017,9,10,18,0.0,3.130000114440918,6.260000228881836,370.0986471231773,5.0
626,CSAP4,2017,9,19,12,0.0,3.130000114440918,5.809999942779541,434.99273671133136,5.0
627,CSAP4,2017,9,19,13,0.0,3.130000114440918,8.489999771118164,434.99273671133136,5.0
628,CSAP4,2017,9,19,14,0.0,3.130000114440918,7.599999904632568,434.99273671133136,5.0
629,CSAP4,2017,9,19,15,0.0,4.019999980926514,8.9399995803833,434.99273671133136,5.0
630,CSAP4,2017,9,19,16,0.0,3.5799999237060547,8.050000190734863,434.99273671133136,5.0
631,CSAP4,2017,9,19,17,0.0,5.369999885559082,9.390000343322754,434.99273671133136,5.0
632,CSAP4,2017,9,19,18,2.53997802734375,5.809999942779541,9.390000343322754,434.99273671133136,5.0
633,CSAP4,2017,9,19,18,2.53997802734375,5.809999942779541,9.390000343322754,333.4564193075881,5.0
634,CSAP4,2017,9,19,19,0.50799560546875,5.369999885559082,10.729999542236328,333.4564193075881,5.0
635,CSAP4,2017,9,19,20,1.77801513671875,4.46999979019165,8.050000190734863,333.4564193075881,5.0
636,CSAP4,2017,9,19,21,0.0,1.7899999618530273,6.260000228881836,333.4564193075881,5.0
637,CSAP4,2017,9,19,22,0.0,4.920000076293945,10.279999732971191,333.4564193075881,5.0
638,CSAP4,2017,9,19,23,0.0,4.46999979019165,11.619999885559082,333.4564193075881,5.0
639,CSAP4,2017,9,20,0,0.76202392578125,8.489999771118164,16.540000915527344,333.4564193075881,5.0
640,CSAP4,2017,9,20,0,0.76202392578125,8.489999771118164,16.540000915527344,237.44778912010568,5.0
641,CSAP4,2017,9,20,1,0.0,2.2300000190734863,9.390000343322754,237.44778912010568,5.0
642,CSAP4,2017,9,20,2,1.26995849609375,2.680000066757202,9.84000015258789,237.44778912010568,5.0
643,CSAP4,2017,9,20,3,0.2540283203125,4.46999979019165,11.170000076293945,237.44778912010568,5.0
644,CSAP4,2017,9,20,3,0.2540283203125,4.46999979019165,11.170000076293945,184.50986631530512,5.0
645,CSAP4,2017,9,20,4,1.27001953125,7.150000095367432,14.3100004196167,184.50986631530512,5.0
646,CSAP4,2017,9,20,5,7.11199951171875,7.150000095367432,20.559999465942383,184.50986631530512,5.0
647,CSAP4,2017,9,20,6,9.6519775390625,10.279999732971191,25.030000686645508,184.50986631530512,5.0
648,CSAP4,2017,9,20,6,9.6519775390625,10.279999732971191,25.030000686645508,132.52715917069855,5.0
649,CSAP4,2017,9,20,7,12.70001220703125,10.279999732971191,24.59000015258789,132.52715917069855,5.0
650,CSAP4,2017,9,20,8,22.8599853515625,12.960000038146973,26.3799991607666,132.52715917069855,5.0
651,CSAP4,2017,9,20,9,32.0040283203125,14.3100004196167,28.610000610351562,132.52715917069855,5.0
652,CSAP4,2017,9,20,10,19.04998779296875,20.110000610351562,38.88999938964844,132.52715917069855,5.0
653,CSAP4,2017,9,20,10,19.04998779296875,20.110000610351562,38.88999938964844,40.16066392933176,5.0
654,CSAP4,2017,9,20,11,16.510009765625,28.170000076293945,52.75,40.16066392933176,5.0
655,CSAP4,2017,9,20,12,0.25396728515625,27.270000457763672,51.86000061035156,40.16066392933176,5.0
656,CSAP4,2017,9,20,12,0.25396728515625,27.270000457763672,51.86000061035156,23.777376098015523,5.0
657,CSAP4,2017,9,20,13,3.302001953125,17.43000030517578,43.810001373291016,23.777376098015523,5.0
658,CSAP4,2017,9,20,14,8.8900146484375,25.479999542236328,51.40999984741211,23.777376098015523,5.0
659,CSAP4,2017,9,20,15,9.14398193359375,23.25,42.470001220703125,23.777376098015523,5.0
660,CSAP4,2017,9,20,16,16.2559814453125,23.25,43.810001373291016,23.777376098015523,5.0
661,CSAP4,2017,9,20,17,14.98602294921875,16.540000915527344,31.739999771118164,23.777376098015523,5.0
662,CSAP4,2017,9,20,18,2.2860107421875,14.3100004196167,31.739999771118164,23.777376098015523,5.0
663,CSAP4,2017,9,20,18,2.2860107421875,14.3100004196167,31.739999771118164,101.07372739777615,5.0
664,CSAP4,2017,9,20,19,1.77801513671875,14.3100004196167,27.719999313354492,101.07372739777615,5.0
665,CSAP4,2017,9,20,20,0.761962890625,15.640000343322754,25.030000686645508,101.07372739777615,5.0
